metrics_int_fid,metrics_int_fid_clip,metrics_int_inception_score,metrics_int_kid,metrics_nvidia_fid,metrics_nvidia_kid,metrics_nvidia_precision,metrics_nvidia_recall,experiment_name,subfolder
164.0048949402074,27.42951356036142,"[2.9436641393004104, 0.0]",0.14054100205955947,136.4893241273803,0.11617733420920921,0.6194800138473511,0.010400000028312206,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-3-0.5-img
113.4905861163756,30.05821892167478,"[5.092369225081397, 0.0]",0.05356814370870868,117.85567033043372,0.05927674539289292,0.5727999806404114,0.012199999764561653,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-2-0.5-half-half
96.0237480376494,27.13061870258639,"[4.311238926762156, 0.0]",0.04726750286036033,95.4609560765036,0.05127961078828827,0.9209399819374084,0.009600000455975533,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-2-0.5-img
101.81481970302707,27.132285341492086,"[5.389451773997578, 0.0]",0.045926492615115104,103.70012543289275,0.04936622369119121,0.6520199775695801,0.019139999523758888,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-2-0.5-mask
52.458027027501146,17.848869084525234,"[6.265973114629516, 0.0]",0.021277867860360386,50.88345377984733,0.021603466423923932,0.7597000002861023,0.07128000259399414,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-3-0.5-half-half
50.10986921947938,17.331285098556684,"[6.194605794211363, 0.0]",0.020369935970970986,48.2988940080722,0.02059473660410408,0.8842599987983704,0.05869999900460243,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-3-0.5-img
51.83160515217776,17.40464378847645,"[6.324450069378819, 0.0]",0.020797337847847843,49.91454027587198,0.021086554074074074,0.7695599794387817,0.0790800005197525,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-3-0.5-mask
22.714358468850605,9.506757910869794,"[7.388169005632669, 0.0]",0.007125770395395403,20.297782419839244,0.0059233122472472635,0.7382400035858154,0.24266000092029572,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-5-0.5-half-half
21.673769177784266,9.597289085233172,"[7.4949951301440505, 0.0]",0.006611406026026076,19.34365130800385,0.00531774881381381,0.800059974193573,0.2472199946641922,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-5-0.5-img
22.04563031668721,9.268643593343171,"[7.581810872554075, 0.0]",0.006920328778778794,19.941436680743077,0.00594174287287286,0.7416399717330933,0.24089999496936798,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-5-0.5-mask
21.437672190979356,7.281589433679159,"[7.354382601371933, 0.0]",0.00934226808808809,18.477558747915086,0.007570066811811817,0.65829998254776,0.26881998777389526,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-7-0.5-half-half
19.745839775094623,7.0996731528682275,"[7.4908804960834585, 0.0]",0.007615487882882844,16.86623874683787,0.006178149639639628,0.694599986076355,0.2823599874973297,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-1000-7-0.5-img
