dataset,model,metric,key,is_baseline,strategy,use_t_next,renoise_factor,n_timesteps,schedule,mean,std,baseline_mean,delta_vs_baseline
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=quad,False,mask,True,1.0,2,quad,0.8230343980343979,0.0012075923373057278,0.8221437346437346,0.0008906633906633488
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=quad,False,mask,True,1.5,2,quad,0.8332002457002459,0.0037682660676804157,0.8376842751842751,-0.004484029484029262
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=quad,False,mask,True,1.5,2,quad,0.8097665847665848,0.025687208653244968,0.8206388206388207,-0.010872235872235847
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=quad,False,mask,True,1.5,2,quad,0.8242628992628992,0.003222035773809201,0.8221437346437346,0.002119164619164615
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=quad,False,mask,True,2.0,2,quad,0.8334766584766584,0.007454102670764633,0.8376842751842751,-0.004207616707616713
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=quad,False,mask,True,2.0,2,quad,0.7774262899262899,0.026530649501402555,0.8206388206388207,-0.04321253071253073
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=quad,False,mask,True,2.0,2,quad,0.8202088452088452,0.00916932364381883,0.8221437346437346,-0.0019348894348893975
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=const,False,mask,True,1.0,5,const,0.8333845208845208,0.0014306897664437305,0.8376842751842751,-0.004299754299754377
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=const,False,mask,True,1.0,5,const,0.8310503685503685,0.0066337644447406075,0.8206388206388207,0.010411547911547858
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=const,False,mask,True,1.0,5,const,0.81517199017199,0.003951785038443948,0.8221437346437346,-0.006971744471744534
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=const,False,mask,True,1.5,5,const,0.8357186732186733,0.001183130238590794,0.8376842751842751,-0.0019656019656018042
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=const,False,mask,True,1.5,5,const,0.8328931203931205,0.0020793993709841366,0.8206388206388207,0.012254299754299813
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=const,False,mask,True,1.5,5,const,0.8219287469287468,0.004442819959436364,0.8221437346437346,-0.0002149877149877355
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=const,False,mask,True,2.0,5,const,0.8381449631449632,0.0025878838369706404,0.8376842751842751,0.0004606879606880998
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=const,False,mask,True,2.0,5,const,0.8335380835380836,0.0007202726903905803,0.8206388206388207,0.012899262899262909
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=const,False,mask,True,2.0,5,const,0.8262592137592136,0.0024427566124260716,0.8221437346437346,0.004115479115479048
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=linear,False,mask,True,1.0,5,linear,0.8281326781326781,0.004854523294466637,0.8376842751842751,-0.009551597051597027
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=linear,False,mask,True,1.0,5,linear,0.8278255528255528,0.004747445999155962,0.8206388206388207,0.007186732186732159
