folder,n_timesteps,guidance,threshold,strategy,renoise_factor,use_t_next,schedule,fid,fid_clip,inception_score,kid
best_cifar10,100,6,0.5,half-half,1.0,False,const,22.93091208425733,7.15169738898868,7.304744811752019,0.00987722601601603
best_cifar10,100,6,0.5,half-half,1.0,False,linear,24.172266865268455,7.633641378848644,7.2634688479605956,0.011506856674174167
best_cifar10,100,6,0.5,half-half,1.0,False,quad,24.24137899825587,7.67804421750332,7.209652462469777,0.011680155598098095
best_cifar10,100,6,0.5,half-half,1.0,True,const,20.16115295760312,6.81491181925545,7.566591008222329,0.0068669425925925905
best_cifar10,100,6,0.5,half-half,1.0,True,linear,19.567180978040938,6.294045188811481,7.468192120652895,0.006448723213213207
best_cifar10,100,6,0.5,half-half,1.0,True,quad,19.6577204903561,6.353207667113381,7.542351413440434,0.006632000295295316
best_cifar10,100,6,0.5,half-half,1.5,False,const,22.809209872726797,7.131888740403262,7.313612802062257,0.009952032987987997
best_cifar10,100,6,0.5,half-half,1.5,False,linear,24.392010517682706,7.708819107396103,7.257154718847725,0.011664128270770784
best_cifar10,100,6,0.5,half-half,1.5,False,quad,24.37855800653756,7.748103767441457,7.234419615098356,0.011771561926926884
best_cifar10,100,6,0.5,half-half,1.5,True,const,126.46008940637068,21.006445581780582,4.024664523583992,0.07753090119369373
best_cifar10,100,6,0.5,half-half,1.5,True,linear,145.22282501136215,25.307753592999973,3.724318280508459,0.09761006668918915
best_cifar10,100,6,0.5,half-half,1.5,True,quad,146.17367343443152,25.453927130438117,3.745284066908298,0.09850980472222222
best_cifar10,100,6,0.5,half-half,2.0,False,const,22.92366705140836,7.105620618199346,7.285351997046765,0.01002154819069069
best_cifar10,100,6,0.5,half-half,2.0,False,linear,24.23603468445492,7.6853548463312364,7.252118945530106,0.011614489932432408
best_cifar10,100,6,0.5,half-half,2.0,False,quad,24.12480450706323,7.660030926039482,7.292091485692438,0.011486375230230229
best_cifar10,100,6,0.5,half-half,2.0,True,const,194.15562119572013,31.797684653616074,2.8252462886453804,0.14142509151151142
best_cifar10,100,6,0.5,half-half,2.0,True,linear,238.7345790139498,40.24564364391117,2.323992835745168,0.19512734595845843
best_cifar10,100,6,0.5,half-half,2.0,True,quad,238.38746933498348,40.266906744941316,2.3184984304679106,0.19495456347847856
best_cifar10,100,6,0.5,img,1.0,False,const,22.457388036065083,7.076779240397563,7.285912637314365,0.009492687359859866
best_cifar10,100,6,0.5,img,1.0,False,linear,22.51500850541231,7.056488426324137,7.280437510692691,0.00957051968218218
best_cifar10,100,6,0.5,img,1.0,False,quad,22.523129757951892,7.067447438825766,7.276519542881471,0.009609837552552562
best_cifar10,100,6,0.5,img,1.0,True,const,19.761910143540945,6.767690939118339,7.509058082353212,0.0066014008883883936
best_cifar10,100,6,0.5,img,1.0,True,linear,19.788075673976948,6.739998705806244,7.534423076140786,0.00668687588338335
best_cifar10,100,6,0.5,img,1.0,True,quad,19.722243020060546,6.793699001593723,7.5955361633276155,0.006689153703703692
best_cifar10,100,6,0.5,img,1.5,False,const,22.54980304776069,7.079272237231827,7.3118946398536036,0.009624583228228253
best_cifar10,100,6,0.5,img,1.5,False,linear,22.5223264727465,7.082343417243948,7.254017771900379,0.009567263721221238
best_cifar10,100,6,0.5,img,1.5,False,quad,22.535686002877867,7.070930720532033,7.334687281191336,0.009622234081581593
best_cifar10,100,6,0.5,img,1.5,True,const,124.56472566706441,20.01167462261035,3.987131811098237,0.07556798225975982
best_cifar10,100,6,0.5,img,1.5,True,linear,124.81688688365227,20.091085652610396,3.9795054039752116,0.07642162297547546
best_cifar10,100,6,0.5,img,1.5,True,quad,124.70949525237529,20.08317047924055,3.9764671740790574,0.07668212021021024
best_cifar10,100,6,0.5,img,2.0,False,const,22.37819677404559,7.0451511245592755,7.298752476970491,0.009647958113113118
best_cifar10,100,6,0.5,img,2.0,False,linear,22.32638687910969,7.073453263853693,7.326380817552063,0.009473291691691648
best_cifar10,100,6,0.5,img,2.0,False,quad,22.58479413076668,7.062134099356861,7.294705132306171,0.009810767429929925
best_cifar10,100,6,0.5,img,2.0,True,const,192.23914373610495,31.05727911049224,2.923783177968664,0.14311155379129134
best_cifar10,100,6,0.5,img,2.0,True,linear,192.42801518994548,31.14297714936825,2.9176497740174323,0.14331202107857852
best_cifar10,100,6,0.5,img,2.0,True,quad,192.21369127290006,30.9879194404894,2.925122479937289,0.1434226972022023
best_cifar10,100,6,0.5,mask,1.0,False,const,23.7104383982263,7.237306604539874,7.292426838985564,0.010283657665165142
best_cifar10,100,6,0.5,mask,1.0,False,linear,24.835313268197808,7.80705338555731,7.254718722907233,0.01149411032032031
best_cifar10,100,6,0.5,mask,1.0,False,quad,24.8312275583404,7.776572720982614,7.289139506549176,0.011486076791791774
best_cifar10,100,6,0.5,mask,1.0,True,const,20.05889221655889,6.824670067823391,7.531632688669519,0.006823209296796772
best_cifar10,100,6,0.5,mask,1.0,True,linear,21.119507372319788,6.521586302844874,7.47183119022357,0.007173031961961956
best_cifar10,100,6,0.5,mask,1.0,True,quad,21.093020605094523,6.534250628308769,7.521735902577565,0.0070827849674674455
best_cifar10,100,6,0.5,mask,1.5,False,const,23.624940261799225,7.29650967844222,7.273825521100658,0.0102441061911912
best_cifar10,100,6,0.5,mask,1.5,False,linear,24.69150050652928,7.723735798942926,7.311928610805482,0.011286536048548533
best_cifar10,100,6,0.5,mask,1.5,False,quad,24.80593609799638,7.7737602328855,7.26962547505402,0.011425245560560566
best_cifar10,100,6,0.5,mask,1.5,True,const,122.14681750939542,21.0996895645425,3.8817697782382976,0.07754322611861862
best_cifar10,100,6,0.5,mask,1.5,True,linear,137.91095201923952,24.900497213769995,3.676469207655926,0.09344375981731733
best_cifar10,100,6,0.5,mask,1.5,True,quad,137.80602799310344,24.941847392891276,3.6582333492483987,0.09337658415415413
best_cifar10,100,6,0.5,mask,2.0,False,const,23.672259913263076,7.274218989196044,7.303215967432561,0.010195675860860853
best_cifar10,100,6,0.5,mask,2.0,False,linear,24.713160177445502,7.772035384557512,7.292812069422393,0.011370939732232209
